Person_id,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1600241,Gradient,76ers GC,4,192,11,22,0.5,2,7,0.286,0,0,0.0,1,2,3,6,12,5,4,0,24,0
1600246,DT,76ers GC,4,192,14,26,0.538,3,7,0.429,2,3,0.667,2,15,17,12,14,11,4,7,33,0
1630400,Dre,76ers GC,4,192,38,56,0.679,22,39,0.564,5,5,1.0,0,2,2,27,1,1,8,0,103,5
1630964,Jyden,76ers GC,4,192,18,31,0.581,11,21,0.524,3,3,1.0,0,0,0,21,10,4,5,0,50,3
1630973,DJ,76ers GC,4,192,41,45,0.911,0,0,0.0,8,10,0.8,14,32,46,15,6,2,6,2,90,2
1600229,May,Blazer5 Gaming,4,197,28,32,0.875,0,1,0.0,2,4,0.5,9,26,35,13,9,1,3,3,58,4
1630411,KayAus,Blazer5 Gaming,4,197,9,12,0.75,3,5,0.6,0,0,0.0,1,13,14,1,9,3,2,2,21,2
1630416,Faiz,Blazer5 Gaming,4,197,25,44,0.568,11,24,0.458,0,0,0.0,0,0,0,26,11,4,10,0,61,2
1641572,Claude,Blazer5 Gaming,4,197,43,68,0.632,30,52,0.577,1,1,1.0,0,2,2,44,6,1,13,0,117,0
1642187,YouBots,Blazer5 Gaming,4,197,20,33,0.606,7,15,0.467,2,2,1.0,4,1,5,7,4,11,6,0,49,0
1600004,Dimez,Bucks Gaming,4,192,36,49,0.735,0,1,0.0,13,13,1.0,13,35,48,24,11,5,5,1,85,0
1630428,dawsix,Bucks Gaming,4,192,18,24,0.75,6,8,0.75,0,0,0.0,2,3,5,9,6,6,2,0,42,0
1630963,JohhnyRed,Bucks Gaming,4,192,39,52,0.75,13,21,0.619,5,8,0.625,0,1,1,17,9,2,5,0,96,0
1641577,CP,Bucks Gaming,4,192,23,46,0.5,12,26,0.462,7,7,1.0,0,1,1,49,8,4,15,0,65,3
1642186,R3TRO,Bucks Gaming,4,192,12,22,0.545,4,10,0.4,3,4,0.75,5,16,21,2,10,9,2,1,31,0
1600019,Slaughter,Cavs Legion GC,4,192,29,41,0.707,0,0,0.0,4,4,1.0,11,31,42,7,12,2,5,4,62,0
1630058,TBShiftay,Cavs Legion GC,4,192,7,18,0.389,1,7,0.143,3,3,1.0,4,3,7,3,9,8,6,1,18,0
1630075,Killeyy,Cavs Legion GC,4,192,23,43,0.535,10,19,0.526,4,4,1.0,0,0,0,20,6,2,2,0,60,0
1630408,ANTOINE,Cavs Legion GC,4,192,27,48,0.563,13,20,0.65,9,9,1.0,0,3,3,28,4,2,6,0,76,3
1630988,DjayTooCold,Cavs Legion GC,4,192,12,25,0.48,5,13,0.385,0,0,0.0,4,11,15,6,12,10,3,6,29,0
1600056,Colt,Celtics Crossover Gaming,4,192,34,43,0.791,0,0,0.0,10,11,0.909,17,33,50,12,8,5,3,2,78,2
1630398,630,Celtics Crossover Gaming,4,192,18,32,0.563,9,21,0.429,4,4,1.0,0,1,1,10,8,5,7,0,49,3
1630401,TayZo,Celtics Crossover Gaming,4,192,15,23,0.652,6,12,0.5,2,2,1.0,0,1,1,3,9,7,1,0,38,2
1641573,Chrizzy,Celtics Crossover Gaming,4,192,11,16,0.688,2,3,0.667,0,0,0.0,2,13,15,4,11,3,1,0,24,4
1641574,Leche,Celtics Crossover Gaming,4,192,23,53,0.434,19,44,0.432,4,4,1.0,0,0,0,39,3,4,14,0,69,0
1630395,Anias,DUX Infinitos,4,192,12,22,0.545,4,10,0.4,0,0,0.0,4,15,19,14,9,6,2,4,28,0
1630979,Big Reign,DUX Infinitos,4,192,31,36,0.861,0,0,0.0,7,7,1.0,15,23,38,5,3,4,6,4,69,2
1631277,Ryan1of1,DUX Infinitos,4,192,24,63,0.381,12,44,0.273,3,3,1.0,1,1,2,27,9,2,16,0,63,0
1641593,Gazulli,DUX Infinitos,4,192,20,41,0.488,9,20,0.45,2,2,1.0,0,1,1,15,13,2,2,0,51,2
