Person_id,Pos.,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1600097,SG,Radiant,76ers GC,1,48,3,8,0.375,3,8,0.375,0,0,0.0,0,1,1,11,0,5,2,0,9,0
1600241,SF,Gradient,76ers GC,7,336,25,39,0.641,5,13,0.385,1,1,1.0,3,3,6,9,21,15,7,1,56,0
1600246,PF,DT,76ers GC,7,336,28,53,0.528,9,16,0.563,2,3,0.667,5,20,25,14,24,19,5,10,67,2
1630400,PG,Dre,76ers GC,7,336,61,97,0.629,36,66,0.545,8,8,1.0,0,4,4,46,2,2,16,0,166,10
1630964,SG,Jyden,76ers GC,6,288,29,58,0.5,19,41,0.463,5,5,1.0,0,0,0,36,15,6,8,0,82,3
1630973,C,DJ,76ers GC,7,336,66,74,0.892,0,0,0.0,12,14,0.857,29,57,86,30,11,5,9,5,144,8
1600229,C,May,Blazer5 Gaming,7,341,54,62,0.871,0,1,0.0,2,4,0.5,22,57,79,22,14,3,8,5,110,4
1630411,PF,KayAus,Blazer5 Gaming,7,341,16,24,0.667,6,10,0.6,0,0,0.0,5,22,27,6,18,7,3,3,38,2
1630416,SG,Faiz,Blazer5 Gaming,7,341,35,78,0.449,16,48,0.333,1,1,1.0,0,1,1,39,19,8,15,0,87,2
1641572,PG,Claude,Blazer5 Gaming,7,341,65,114,0.57,42,85,0.494,2,2,1.0,0,3,3,77,8,3,29,0,174,3
1642187,SF,YouBots,Blazer5 Gaming,7,341,34,57,0.596,12,24,0.5,4,4,1.0,5,1,6,9,12,17,6,0,84,2
1600004,C,Dimez,Bucks Gaming,10,480,79,113,0.699,2,7,0.286,24,24,1.0,34,69,103,50,21,10,20,4,184,2
1630428,SF,dawsix,Bucks Gaming,10,480,46,65,0.708,15,28,0.536,7,8,0.875,2,5,7,26,22,18,8,0,114,8
1630963,SG,JohhnyRed,Bucks Gaming,10,480,75,122,0.615,35,62,0.565,13,16,0.813,0,3,3,39,25,5,13,0,198,2
1641577,PG,CP,Bucks Gaming,10,480,53,107,0.495,30,61,0.492,17,18,0.944,0,3,3,102,18,8,30,0,153,3
1642186,PF,R3TRO,Bucks Gaming,10,480,34,58,0.586,17,31,0.548,5,6,0.833,11,25,36,4,28,24,5,4,90,2
1600019,C,Slaughter,Cavs Legion GC,6,288,45,60,0.75,0,0,0.0,5,5,1.0,15,44,59,15,15,5,6,6,95,0
1630058,SF,TBShiftay,Cavs Legion GC,6,288,13,26,0.5,4,11,0.364,5,5,1.0,4,3,7,6,11,9,7,1,35,0
1630075,SG,Killeyy,Cavs Legion GC,6,288,41,68,0.603,22,35,0.629,4,4,1.0,0,0,0,33,12,6,6,0,108,0
1630408,PG,ANTOINE,Cavs Legion GC,6,288,35,66,0.53,19,35,0.543,9,9,1.0,0,3,3,47,4,3,12,0,98,3
1630988,PF,DjayTooCold,Cavs Legion GC,6,288,21,37,0.568,9,20,0.45,1,2,0.5,4,20,24,8,20,13,4,12,52,2
1600056,C,Colt,Celtics Crossover Gaming,7,341,55,70,0.786,0,0,0.0,17,19,0.895,28,62,90,22,16,7,6,3,127,2
1630398,SG,630,Celtics Crossover Gaming,7,341,31,64,0.484,18,48,0.375,4,4,1.0,0,1,1,21,16,6,10,0,84,3
1630401,SF,TayZo,Celtics Crossover Gaming,7,341,24,39,0.615,9,21,0.429,5,5,1.0,1,3,4,7,15,10,2,1,62,4
1641573,PF,Chrizzy,Celtics Crossover Gaming,7,341,16,27,0.593,7,12,0.583,0,0,0.0,5,18,23,7,22,4,2,1,39,4
